index,shape-type,vertex-index,axis-0,axis-1
0,path,0,259.16102691944616,75.17777985879911
0,path,1,259.7253654614324,-0.16141549636125774
0,path,2,-0.4347023942150514,0.4029230456249593
0,path,3,-0.9990409362012684,125.9682486375589
0,path,4,38.504657002834136,116.37449342379315
0,path,5,44.148042422696335,111.2954465459172
0,path,6,44.148042422696335,106.78073821002744
0,path,7,55.71698253341384,111.85978508790342
0,path,8,64.18206066320715,107.90941529399987
0,path,9,68.69676899909692,104.24121477108943
0,path,10,78.85486275484888,107.34507675201365
0,path,11,87.31994088464216,110.44893873293785
0,path,12,135.28871695347087,127.94343353451066
0,path,13,140.08559456035374,112.98846217187585
0,path,14,143.47162581227107,97.18698299626169
0,path,15,141.21427164432617,84.48936580157175
0,path,16,137.82824039240887,76.87079548475776
0,path,17,146.85765706418837,64.45534756106093
0,path,18,166.32733676271297,98.87999862222034
0,path,19,181.0001388543547,105.08772258406876
0,path,20,192.56907896507218,104.24121477108943
0,path,21,206.1132039727415,103.67687622910321
0,path,22,217.3999748124659,98.87999862222034
0,path,23,223.04336023232807,92.10793611838571
0,path,24,236.02314669801112,90.41492049242706
0,path,25,244.77039409879754,85.33587361455108
0,path,26,258.31451910646683,74.6134413168129
1,path,0,-0.4347023942150514,147.69528250402837
1,path,1,14.520268968419785,144.59142052310418
1,path,2,24.11402418218553,145.4379283360835
1,path,3,41.326349712765236,143.74491271012485
1,path,4,49.22708930057232,142.61623562615242
1,path,5,52.61312055248963,148.5417903170077
1,path,6,57.1278288883794,146.56660542005594
1,path,7,61.64253722426915,150.23480594296635
1,path,8,65.8750762891658,152.49216011091127
1,path,9,69.26110754108313,153.6208371948837
1,path,10,73.49364660597979,149.38829812998702
1,path,11,76.59750858690398,146.00226687806972
1,path,12,84.78041744570419,144.30925125211107
1,path,13,95.50284974344237,139.23020437423506
1,path,14,103.96792787323565,138.66586583224884
1,path,15,118.35856069388427,139.51237364522817
1,path,16,127.10580809467069,140.35888145820755
1,path,17,126.25930028169134,146.28443614906283
1,path,18,124.56628465573269,152.49216011091127
1,path,19,135.28871695347087,154.74951427885614
1,path,20,143.18945654127796,157.57120698878722
1,path,21,143.75379508326418,163.21459240864945
1,path,22,143.75379508326418,163.21459240864945
1,path,23,141.21427164432617,173.0905168934083
1,path,24,146.57548779319526,172.5261783514221
1,path,25,146.85765706418837,181.27342575220845
1,path,26,152.50104248405057,185.78813408809825
1,path,27,156.45141227795412,189.17416534001555
1,path,28,156.45141227795412,192.56019659193285
1,path,29,162.37696696880943,192.84236586292596
1,path,30,165.76299822072676,194.81755075987778
1,path,31,168.86686020165095,200.17876690874684
1,path,32,169.7133680146303,207.79733722556082
1,path,33,171.40638364058896,217.10892316833346
1,path,34,169.43119874363717,222.47013931720252
1,path,35,165.19865967874054,225.2918320271336
1,path,36,167.73818311767852,231.49955598898205
1,path,37,166.32733676271297,243.63283464168578
1,path,38,163.78781332377497,248.71188151956179
1,path,39,158.42659717490588,254.91960548141017
1,path,40,161.248289884837,259.4343138173
1,path,41,166.8916753046992,253.50875912644463
1,path,42,168.58469093065784,257.74129819134123
1,path,43,168.58469093065784,262.2560065272311
